# Country: United States
# State: CA
# County: Riverside
# Bands: 2m, 70cm
# Download Type: detailed
# Total Repeaters: 65
#
Downlink,Uplink,Offset,Uplink Tone,Downlink Tone,DMR,Color Code,DMR ID,SYSTEM FUSION,DG‑ID,WIRES‑X,County,Grid Square,Call,Use,Status,Sponsor,Affiliate,FM,EchoLink,Coordination,Updated,Reviewed,EchoLink Node,EchoLink Status,EchoLink Callsign,EchoLink Location,EchoLink Last Activity,IRLP,IRLP Node,IRLP Status,IRLP Last Activity,IRLP Callsign,IRLP Location,Notes
146.80500,146.20500,-0.600,100.0,100.0,false,,,,,,Riverside,DM13lm,W6GTR,OPEN,,,,25.0 kHz (wideband),755176,,,,755176,Error,,,,,,,,,,Repeater Id: 06-386; Yes; Analog Capable: 25.0 kHz (wideband); Gtarc: Thu at 19:30.; Offset: -0.6 MHz; Location: Temecula; Modes: FM EchoLink Fusion; Tone Up: 100.0; Tone Down: 100.0
146.88000,146.28000,-0.600,146.2,146.2,false,,,,,,Riverside,DM13gv,W6TJ,OPEN,,,Riverside Co RACES Sponsor: Riverside Co ARA,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-384; Yes; Analog Capable: 25.0 kHz (wideband); Races: Mon at 19:00<br>; Offset: -0.6 MHz; Location: Riverside, County Admin Bldg; Modes: FM; Tone Up: 146.2; Tone Down: 146.2"
146.89500,146.29500,-0.600,118.8,118.8,false,,,,,,Riverside,DM13ps,KD6OI,OPEN,,Mile High RC,,25.0 kHz (wideband),,,,,,,,,,,,,,,,Repeater Id: 06-373; Yes; Analog Capable: 25.0 kHz (wideband); Mhrc: Wed at 19:00.; Offset: -0.6 MHz; Location: Idyllwild; Modes: FM; Tone Up: 118.8; Tone Down: 118.8
146.94000,146.34000,-0.600,107.2,107.2,false,,,,,,Riverside,DM13su,WD6RAT,OPEN,,Desert Rats Web Site,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-381; Yes; Analog Capable: 25.0 kHz (wideband); Ar Newsline: Mondays at 18:30 (6:30 PM) Pacific Time. <br>; Desert Rats: Mondays at 19:00 (7:00 PM) Pacific Time.; Offset: -0.6 MHz; Location: Palm Springs, Edom Hill; Modes: FM WIRES-X; Tone Up: 107.2; Tone Down: 107.2"
147.00000,147.60000,+0.600,203.5,203.5,false,,,,,,Riverside,,WA6ZRC,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-364; Yes; Analog Capable: 25.0 kHz (wideband); Tasma Current: Call W6RE -> KB6LJO. It's somewhere in the McCoy Mtns.; Offset: +0.6 MHz; Location: Blythe, McCoy Mtns; Modes: FM AllStar; Tone Up: 203.5; Tone Down: 203.5"
147.03000,147.63000,+0.600,107.2,,false,,,,,,Riverside,,KA6GBJ,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,Repeater Id: 06-370; Yes; Analog Capable: 25.0 kHz (wideband); Offset: +0.6 MHz; Location: Desert Center; Modes: FM; Tone Up: 107.2
147.06000,147.66000,+0.600,162.2,162.2,false,,,,,,Riverside,DM13fw,W6PWT,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-376; Yes; Analog Capable: 25.0 kHz (wideband); Offset: +0.6 MHz; Location: Corona, Norco Hills; Modes: FM; Tone Up: 162.2; Tone Down: 162.2"
147.09000,147.69000,+0.600,123.0,,false,,,,,,Riverside,DM23oo,W6CDF,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-365; Yes; Analog Capable: 25.0 kHz (wideband); Offset: +0.6 MHz; Location: Blythe, Black Rock; Modes: FM; Tone Up: 123.0"
147.22500,147.82500,+0.600,156.7,,false,,,,,,Riverside,,W6CPD,PRIVATE,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,Repeater Id: 06-2711; Yes; Analog Capable: 25.0 kHz (wideband); Csv: Sun at 20:00.; Offset: +0.6 MHz; Location: Corona; Modes: FM; Tone Up: 156.7
147.45000,146.41500,-1.035,127.3,,false,,,,,,Riverside,DM13eu,W6NUT,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-6972; Teamspeak & Phone Patch: contact [email protected] for access.; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -1.035 MHz; Location: Corona, Sierra Peak; Modes: FM; Tone Up: 127.3"
